Player,Team,Venue,Category,Market,n,n_venue,mu_all,mu_blend,s2_blend,narrative_mult,mu_adj,s2_adj,p_base,p_final,Odds,Implied,Fair_Odds,EV_pct,Line,Model
L. Coyle,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET,28,0,0.0357,0.0357,0.0457,1.0,0.0357,0.0457,0.00396,0.00396,21.0,0.047619,252.5399,-91.6845,2,NegBin
M. Jacob,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,3,0,0.0,0.01,0.02,1.0,0.01,0.02,0.006908,0.006908,3.5,0.285714,144.7701,-97.5824,1,NegBin
M. Jacob,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET,3,0,0.0,0.01,0.02,1.0,0.01,0.02,0.001942,0.001942,19.0,0.052632,514.9219,-96.3101,2,NegBin
A. Hadziahmetovic,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,20,0,0.0,0.01,0.02,1.0,0.01,0.02,0.006908,0.006908,3.4,0.294118,144.7701,-97.6514,1,NegBin
A. Hadziahmetovic,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET,20,0,0.0,0.01,0.02,1.0,0.01,0.02,0.001942,0.001942,17.0,0.058824,514.9219,-96.6985,2,NegBin
C. Drameh,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,10,0,0.0,0.01,0.02,1.0,0.01,0.02,0.006908,0.006908,6.0,0.166667,144.7701,-95.8555,1,NegBin
C. Drameh,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_2_OR_MORE_SHOTS_ON_TARGET,10,0,0.0,0.01,0.02,1.0,0.01,0.02,0.001942,0.001942,21.0,0.047619,514.9219,-95.9217,2,NegBin
C. McCarthy,hull-city,Neutral,shots-on-target,PLAYER_TO_HAVE_1_OR_MORE_SHOTS_ON_TARGET,4,0,0.0,0.01,0.02,1.0,0.01,0.02,0.006908,0.006908,6.5,0.153846,144.7701,-95.5101,1,NegBin
C. Drameh,hull-city,Neutral,tackles,PLAYER_TO_HAVE_2_OR_MORE_TACKLES,10,0,2.5,2.5,3.8333,1.0,2.5,3.8333,0.645304,0.645304,1.1,0.909091,1.5497,-29.0165,2,NegBin
R. Slater,hull-city,Neutral,tackles,PLAYER_TO_HAVE_1_OR_MORE_TACKLES,25,0,2.24,2.24,2.8567,1.0,2.24,2.8567,0.861747,0.861747,1.11,0.900901,1.1604,-4.3461,1,NegBin
R. Slater,hull-city,Neutral,tackles,PLAYER_TO_HAVE_2_OR_MORE_TACKLES,25,0,2.24,2.24,2.8567,1.0,2.24,2.8567,0.618911,0.618911,1.53,0.653595,1.6157,-5.3066,2,NegBin
M. Crooks,hull-city,Neutral,tackles,PLAYER_TO_HAVE_1_OR_MORE_TACKLES,20,0,2.0,2.0,2.01,1.0,2.0,2.01,0.863989,0.863989,1.06,0.943396,1.1574,-8.4172,1,NegBin
M. Crooks,hull-city,Neutral,tackles,PLAYER_TO_HAVE_2_OR_MORE_TACKLES,20,0,2.0,2.0,2.01,1.0,2.0,2.01,0.593319,0.593319,1.36,0.735294,1.6854,-19.3086,2,NegBin
A. Famewo,hull-city,Neutral,tackles,PLAYER_TO_HAVE_1_OR_MORE_TACKLES,10,0,1.6,1.6,1.61,1.0,1.6,1.61,0.797096,0.797096,1.08,0.925926,1.2546,-13.9137,1,NegBin
A. Famewo,hull-city,Neutral,tackles,PLAYER_TO_HAVE_2_OR_MORE_TACKLES,10,0,1.6,1.6,1.61,1.0,1.6,1.61,0.474465,0.474465,1.44,0.694444,2.1076,-31.677,2,NegBin
L. Coyle,hull-city,Neutral,tackles,PLAYER_TO_HAVE_1_OR_MORE_TACKLES,28,0,1.5357,1.5357,2.6283,1.0,1.5357,2.6283,0.686478,0.686478,1.06,0.943396,1.4567,-27.2333,1,NegBin
L. Coyle,hull-city,Neutral,tackles,PLAYER_TO_HAVE_2_OR_MORE_TACKLES,28,0,1.5357,1.5357,2.6283,1.0,1.5357,2.6283,0.40515,0.40515,1.36,0.735294,2.4682,-44.8996,2,NegBin
J. Gelhardt,hull-city,Neutral,tackles,PLAYER_TO_HAVE_1_OR_MORE_TACKLES,21,0,1.4762,1.4762,1.4862,1.0,1.4762,1.4862,0.770353,0.770353,1.14,0.877193,1.2981,-12.1797,1,NegBin
J. Gelhardt,hull-city,Neutral,tackles,PLAYER_TO_HAVE_2_OR_MORE_TACKLES,21,0,1.4762,1.4762,1.4862,1.0,1.4762,1.4862,0.433632,0.433632,1.72,0.581395,2.3061,-25.4153,2,NegBin
M. Jacob,hull-city,Neutral,tackles,PLAYER_TO_HAVE_1_OR_MORE_TACKLES,3,0,2.6667,2.6667,14.3333,1.0,2.6667,14.3333,0.641229,0.641229,1.14,0.877193,1.5595,-26.8999,1,NegBin
