"Player","Category","Market","Odds","Team","League"
"M. Jacob","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.62","hull-city","championship"
"K. Dowell","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.22","hull-city","championship"
"K. Dowell","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.00","hull-city","championship"
"L. Millar","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.44","hull-city","championship"
"L. Millar","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","3.00","hull-city","championship"
"R. Giles","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.83","hull-city","championship"
"R. Giles","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","5.50","hull-city","championship"
"S. Ajayi","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.33","hull-city","championship"
"S. Ajayi","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.62","hull-city","championship"
"C. Drameh","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.33","hull-city","championship"
"C. Drameh","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","2.62","hull-city","championship"
"C. McCarthy","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.20","hull-city","championship"
"C. McCarthy","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.83","hull-city","championship"
"I. Pandur","fouls-committed","TO_BE_BOOKED","4.75","hull-city","championship"
"D. Phillips","fouls-committed","TO_BE_BOOKED","6.00","hull-city","championship"
"E. Matazo","fouls-committed","PLAYER_TO_COMMIT_1_OR_MORE_FOULS","1.16","hull-city","championship"
"E. Matazo","fouls-committed","PLAYER_TO_COMMIT_2_OR_MORE_FOULS","1.72","hull-city","championship"
"O. McBurnie","fouls-drawn","PLAYER_TO_WIN_1_OR_MORE_FOULS","1.36","hull-city","championship"
"O. McBurnie","fouls-drawn","PLAYER_TO_WIN_2_OR_MORE_FOULS","2.62","hull-city","championship"
