Bookmaker,Market,Context,Player_Team,Label,Column_Header,Odds
"Bet365","THROW INS","Both Teams Combined","","51.5 Throw Ins","Under","1.14"
"Bet365","THROW INS","Both Teams Combined","","52.5 Throw Ins","Over","6.50"
"Bet365","THROW INS","Both Teams Combined","","52.5 Throw Ins","Under","1.11"
"Bet365","THROW INS","Both Teams Combined","","53.5 Throw Ins","Over","8.00"
"Bet365","THROW INS","Both Teams Combined","","53.5 Throw Ins","Under","1.083"
"Bet365","THROW INS","Both Teams Combined","","54.5 Throw Ins","Over","10.00"
"Bet365","THROW INS","Both Teams Combined","","54.5 Throw Ins","Under","1.062"
"Bet365","THROW INS","Both Teams Combined","","55.5 Throw Ins","Over","11.00"
"Bet365","THROW INS","Both Teams Combined","","55.5 Throw Ins","Under","1.05"
"Bet365","THROW INS","Both Teams Combined","","56.5 Throw Ins","Over","13.00"
"Bet365","THROW INS","Both Teams Combined","","56.5 Throw Ins","Under","1.04"
"Bet365","THROW INS","Both Teams Combined","","57.5 Throw Ins","Over","17.00"
"Bet365","THROW INS","Both Teams Combined","","57.5 Throw Ins","Under","1.025"
"Bet365","THROW INS","Both Teams Combined","","58.5 Throw Ins","Over","19.00"
"Bet365","THROW INS","Both Teams Combined","","58.5 Throw Ins","Under","1.02"
"Bet365","GOAL KICKS","Both Teams Combined","","9.5 Goal Kicks","Over","1.03"
"Bet365","GOAL KICKS","Both Teams Combined","","9.5 Goal Kicks","Under","15.00"
"Bet365","GOAL KICKS","Both Teams Combined","","10.5 Goal Kicks","Over","1.062"
"Bet365","GOAL KICKS","Both Teams Combined","","10.5 Goal Kicks","Under","10.00"
"Bet365","GOAL KICKS","Both Teams Combined","","11.5 Goal Kicks","Over","1.11"
"Bet365","GOAL KICKS","Both Teams Combined","","11.5 Goal Kicks","Under","6.50"
"Bet365","GOAL KICKS","Both Teams Combined","","12.5 Goal Kicks","Over","1.18"
"Bet365","GOAL KICKS","Both Teams Combined","","12.5 Goal Kicks","Under","4.50"
"Bet365","GOAL KICKS","Both Teams Combined","","13.5 Goal Kicks","Over","1.30"
"Bet365","GOAL KICKS","Both Teams Combined","","13.5 Goal Kicks","Under","3.40"
"Bet365","GOAL KICKS","Both Teams Combined","","14.5 Goal Kicks","Over","1.44"
"Bet365","GOAL KICKS","Both Teams Combined","","14.5 Goal Kicks","Under","2.62"
"Bet365","GOAL KICKS","Both Teams Combined","","15.5 Goal Kicks","Over","1.66"
"Bet365","GOAL KICKS","Both Teams Combined","","15.5 Goal Kicks","Under","2.10"
"Bet365","GOAL KICKS","Both Teams Combined","","16.5 Goal Kicks","Over","2.00"
"Bet365","GOAL KICKS","Both Teams Combined","","16.5 Goal Kicks","Under","1.72"
"Bet365","GOAL KICKS","Both Teams Combined","","17.5 Goal Kicks","Over","2.50"
"Bet365","GOAL KICKS","Both Teams Combined","","17.5 Goal Kicks","Under","1.50"
"Bet365","GOAL KICKS","Both Teams Combined","","18.5 Goal Kicks","Over","3.25"
"Bet365","GOAL KICKS","Both Teams Combined","","18.5 Goal Kicks","Under","1.33"
"Bet365","GOAL KICKS","Both Teams Combined","","19.5 Goal Kicks","Over","4.00"
"Bet365","GOAL KICKS","Both Teams Combined","","19.5 Goal Kicks","Under","1.22"
"Bet365","GOAL KICKS","Both Teams Combined","","20.5 Goal Kicks","Over","5.50"
"Bet365","GOAL KICKS","Both Teams Combined","","20.5 Goal Kicks","Under","1.14"
"Bet365","GOAL KICKS","Both Teams Combined","","21.5 Goal Kicks","Over","7.00"
"Bet365","GOAL KICKS","Both Teams Combined","","21.5 Goal Kicks","Under","1.10"
"Bet365","GOAL KICKS","Both Teams Combined","","22.5 Goal Kicks","Over","10.00"
"Bet365","GOAL KICKS","Both Teams Combined","","22.5 Goal Kicks","Under","1.062"
"Bet365","GOAL KICKS","Both Teams Combined","","23.5 Goal Kicks","Over","13.00"
"Bet365","GOAL KICKS","Both Teams Combined","","23.5 Goal Kicks","Under","1.04"
"Bet365","GOAL KICKS","Both Teams Combined","","24.5 Goal Kicks","Over","19.00"
"Bet365","GOAL KICKS","Both Teams Combined","","24.5 Goal Kicks","Under","1.02"
Bookmaker,Market,Context,Player_Team,Label,Column_Header,Odds
"Bet365","TOTAL GOALS","Hull","","0 Goals","Over","1.53"
"Bet365","TOTAL GOALS","Hull","","0 Goals","Exactly","2.37"
"Bet365","TOTAL GOALS","Hull","","1 Goals","Over","3.75"
"Bet365","TOTAL GOALS","Hull","","1 Goals","Exactly","2.40"
"Bet365","TOTAL GOALS","Hull","","1 Goals","Under","2.37"
"Bet365","TOTAL GOALS","Hull","","2 Goals","Over","11.00"
"Bet365","TOTAL GOALS","Hull","","2 Goals","Exactly","5.00"
"Bet365","TOTAL GOALS","Hull","","2 Goals","Under","1.25"
"Bet365","TOTAL GOALS","Hull","","3 Goals","Over","34.00"
"Bet365","TOTAL GOALS","Hull","","3 Goals","Exactly","12.00"
"Bet365","TOTAL GOALS","Hull","","3 Goals","Under","1.05"
"Bet365","CORNERS","Hull","","1 Corners","Over","1.071"
"Bet365","CORNERS","Hull","","1 Corners","Exactly","10.00"
"Bet365","CORNERS","Hull","","1 Corners","Under","21.00"
"Bet365","CORNERS","Hull","","2 Corners","Over","1.30"
"Bet365","CORNERS","Hull","","2 Corners","Exactly","6.00"
"Bet365","CORNERS","Hull","","2 Corners","Under","7.00"
"Bet365","CORNERS","Hull","","3 Corners","Over","1.66"
"Bet365","CORNERS","Hull","","3 Corners","Exactly","5.50"
"Bet365","CORNERS","Hull","","3 Corners","Under","3.40"
"Bet365","CORNERS","Hull","","4 Corners","Over","2.37"
"Bet365","CORNERS","Hull","","4 Corners","Exactly","5.50"
"Bet365","CORNERS","Hull","","4 Corners","Under","2.10"
"Bet365","CORNERS","Hull","","5 Corners","Over","3.75"
"Bet365","CORNERS","Hull","","5 Corners","Exactly","6.50"
"Bet365","CORNERS","Hull","","5 Corners","Under","1.53"
"Bet365","CORNERS","Hull","","6 Corners","Over","6.00"
"Bet365","CORNERS","Hull","","6 Corners","Exactly","8.50"
"Bet365","CORNERS","Hull","","6 Corners","Under","1.25"
"Bet365","CORNERS","Hull","","7 Corners","Over","10.00"
"Bet365","CORNERS","Hull","","7 Corners","Exactly","12.00"
"Bet365","CORNERS","Hull","","7 Corners","Under","1.12"
"Bet365","CORNERS","Hull","","8 Corners","Over","15.00"
"Bet365","CORNERS","Hull","","8 Corners","Exactly","17.00"
"Bet365","CORNERS","Hull","","8 Corners","Under","1.05"
"Bet365","CORNERS","Hull","","9 Corners","Over","23.00"
"Bet365","CORNERS","Hull","","9 Corners","Exactly","23.00"
"Bet365","CORNERS","Hull","","9 Corners","Under","1.025"
"Bet365","CARDS","Hull","","0 Cards","Over","1.071"
"Bet365","CARDS","Hull","","0 Cards","Exactly","9.00"
"Bet365","CARDS","Hull","","1 Cards","Over","1.36"
"Bet365","CARDS","Hull","","1 Cards","Exactly","4.33"
"Bet365","CARDS","Hull","","1 Cards","Under","9.00"
"Bet365","CARDS","Hull","","2 Cards","Over","2.10"
"Bet365","CARDS","Hull","","2 Cards","Exactly","3.40"
"Bet365","CARDS","Hull","","2 Cards","Under","3.00"
"Bet365","CARDS","Hull","","3 Cards","Over","4.00"
"Bet365","CARDS","Hull","","3 Cards","Exactly","4.00"
"Bet365","CARDS","Hull","","3 Cards","Under","1.66"
"Bet365","CARDS","Hull","","4 Cards","Over","10.00"
"Bet365","CARDS","Hull","","4 Cards","Exactly","6.50"
"Bet365","CARDS","Hull","","4 Cards","Under","1.22"
"Bet365","CARDS","Hull","","5 Cards","Over","21.00"
"Bet365","CARDS","Hull","","5 Cards","Exactly","12.00"
"Bet365","CARDS","Hull","","5 Cards","Under","1.062"
"Bet365","TOTAL SHOTS ON TARGET","Hull","","1.5","Over","1.071"
"Bet365","TOTAL SHOTS ON TARGET","Hull","","1.5","Under","7.50"
"Bet365","TOTAL SHOTS ON TARGET","Hull","","2.5","Over","1.25"
"Bet365","TOTAL SHOTS ON TARGET","Hull","","2.5","Under","3.75"
"Bet365","TOTAL SHOTS ON TARGET","Hull","","3.5","Over","1.61"
"Bet365","TOTAL SHOTS ON TARGET","Hull","","3.5","Under","2.20"
"Bet365","TOTAL SHOTS ON TARGET","Hull","","4.5","Over","2.25"
"Bet365","TOTAL SHOTS ON TARGET","Hull","","4.5","Under","1.57"
"Bet365","TOTAL SHOTS ON TARGET","Hull","","5.5","Over","3.50"
"Bet365","TOTAL SHOTS ON TARGET","Hull","","5.5","Under","1.28"
"Bet365","TOTAL SHOTS ON TARGET","Hull","","6.5","Over","5.50"
"Bet365","TOTAL SHOTS ON TARGET","Hull","","6.5","Under","1.12"
"Bet365","TOTAL SHOTS ON TARGET","Hull","","7.5","Over","8.50"
"Bet365","TOTAL SHOTS ON TARGET","Hull","","7.5","Under","1.05"
"Bet365","TOTAL SHOTS","Hull","","5.5","Over","1.071"
"Bet365","TOTAL SHOTS","Hull","","5.5","Under","7.50"
"Bet365","TOTAL SHOTS","Hull","","6.5","Over","1.14"
"Bet365","TOTAL SHOTS","Hull","","6.5","Under","5.00"
"Bet365","TOTAL SHOTS","Hull","","7.5","Over","1.25"
