Bookmaker,Market,Context,Stat,Label,Side,Line,Odds,Implied,n,mu_emp,s2_emp,mu_prior,s2_prior,mu_post,s2_post,Model,p_final,Fair_Odds,EV_pct,Expr,Source,Params
Bet365,CORNERS,Both Teams Combined,Corners,9 Corners,Exactly,9.0,8.5,0.11764705882352941,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.10508343861001945,9.516247405180101,-10.679077181483464,P(Exactly 9) = PMF(9),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,9 Corners,Under,9.0,3.5,0.2857142857142857,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.3195718923485727,3.1291863394207744,11.850162322000447,P(Under 9) = P(X ≤ 8) = CDF(8),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,10 Corners,Over,10.0,1.8,0.5555555555555556,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.46935516262136046,2.130582722079746,-15.516070728155118,P(Over 10) = P(X ≥ 11) = 1-CDF(10),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,10 Corners,Exactly,10.0,8.5,0.11764705882352941,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.10598950642004656,9.434896281495115,-9.908919542960426,P(Exactly 10) = PMF(10),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,10 Corners,Under,10.0,2.5,0.4,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.42465533095859204,2.354850927557317,6.163832739648001,P(Under 10) = P(X ≤ 9) = CDF(9),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,11 Corners,Over,11.0,2.25,0.4444444444444444,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.3694921631318342,2.7064173473232818,-16.864263295337302,P(Over 11) = P(X ≥ 12) = 1-CDF(11),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,11 Corners,Exactly,11.0,8.5,0.11764705882352941,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.09986299948952682,10.013718845936282,-15.116450433902207,P(Exactly 11) = PMF(11),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,11 Corners,Under,11.0,1.9,0.5263157894736842,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.5306448373786395,1.8844996305626054,0.8225191019415101,P(Under 11) = P(X ≤ 10) = CDF(10),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,12 Corners,Over,12.0,3.0,0.3333333333333333,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.2809294003426889,3.5596131938492737,-15.721179897193338,P(Over 12) = P(X ≥ 13) = 1-CDF(12),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
Bet365,CORNERS,Both Teams Combined,Corners,12 Corners,Exactly,12.0,9.5,0.10526315789473684,15,9.6,9.400000000000002,12.2,24.2,10.504347826086956,14.547826086956523,NegBin,0.08856276278914557,11.291427327993905,-15.865375350311705,P(Exactly 12) = PMF(12),Match from hull-city home rows only,"{'n_nb': 27.28871435250116, 'p_nb': np.float64(0.7220561864913329)}"
